Type,ID,Description,KM
Non-BRTS,323-D,Chikhali To Ma Na Pa,23.4
Non-BRTS,323-U,Ma Na Pa To Chikhali,23.4
BRTS,324-D,Hinjawadi - Maan Phase 3 To Bhosari,25.3
BRTS,324-U,Bhosari To Hinjewadi - Maan Phase 3,25.3
Non-BRTS,325-D,Masulkar Colony To Pune Station,18.7
Non-BRTS,325-U,Pune Station To Masulkar Colony,18.7
Non-BRTS,326-D,Chikhali To Pimprigaon,12.1
Non-BRTS,326-U,Pimprigaon To Chikhali,12.1
Non-BRTS,327-D,Hinjawadi Maan Phase 3 To Alandi,35.7
Non-BRTS,327-U,Alandi To Hinjawadi Maan Phase 3,35.7
Non-BRTS,328A-D,Rupeenagar To Nigdi,3
Non-BRTS,328A-U,Nigdi To Rupeenagar,3
Non-BRTS,329A-D,Dehugaon To Pune Station Via Khadki Bazar,34
Non-BRTS,329A-U,Pune Station To Dehugaon Via Khadki Bazar,34
Non-BRTS,329-D,Dehugaon To Pune Station,33
Non-BRTS,329-U,Pune Station To Dehugaon,33
Non-BRTS,32-D,Alandi To Bharati Vidyapeeth,34.1
Non-BRTS,32-U,Bharati Vidyapeeth To Alandi,34.1
Non-BRTS,331A-D,Rahatnigaon To Gavhanevasti Bhosari,13
Non-BRTS,331A-U,Gavhanevasti Bhosari To Rahatnigaon,13
Non-BRTS,331B-D,Rahatnigaon To Charholigaon Via Kaljewadi,21.7
Non-BRTS,331B-U,Charholigaon To Rahatnigaon Via Kaljewadi,21.7
Non-BRTS,331-D,Rahatnigaon To Charholigaon,22
Non-BRTS,331-U,Charholigaon To Rahatnigaon,22
BRTS,332A-D,Pimple Saudagar To Ma Na Pa,15.7
BRTS,332A-U,Ma Na Pa To Pimple Saudagar,15.7
Non-BRTS,332-D,Pimpri To Pune Station,26.4
Non-BRTS,332-U,Pune Station To Pimpri,26.4
BRTS,333-D,Hinjawadi - Maan Phase 3 To Pune Station,26.6
BRTS,333-U,Pune Station To Hinjawadi - Maan Phase 3,26.6
Non-BRTS,334-D,Gharkul Vasahat Chikhali To Pimprigaon,10
Non-BRTS,334-U,Pimprigaon To Gharkul Vasahat Chikhli,10.1
Non-BRTS,335A-D,Jambe To Dange Chowk,7.6
Non-BRTS,335A-U,Dange Chowk To Jambe,7.6
BRTS,336-D,Bhakti Shakti To Kesnand Phata,31
BRTS,336-U,Kesnand Phata To Bhakti Shakti,31
BRTS,337-D,Bhakti Shakti To Dhayari Maruti Mandir,37.7
BRTS,337-U,Dhayari Maruti Mandir To Bhakti Shakti,37.7
Non-BRTS,339B-D,Indrayaninagar To Pune Station,22.6
Non-BRTS,339B-U,Pune Station To Indrayaninagar,22.6
Non-BRTS,339-D,Santnagar MIDC Police Station To Katraj,32.5
Non-BRTS,339-U,Katraj To Santnagar MIDC Police Station,32.5
Non-BRTS,33-D,Na Ta Wadi To Taljai Pathar,10.2
Non-BRTS,33-U,Taljai Pathar To Na Ta Wadi,10.2
BRTS,341-D,Mohannagar To Ma Na Pa,22.2
BRTS,341-U,Ma Na Pa To Mohannagar,22.2
Non-BRTS,344-D,Pimple Nilakh To Alandi,25.4
Non-BRTS,344-U,Alandi To Pimple Nilakh,25.4
BRTS,345-D,Thergaon To Pune Station,19.3
BRTS,345-U,Pune Station To Thergaon,19.3
Non-BRTS,347-D,Dapodi To Alandi,30.9
Non-BRTS,347-U,Alandi To Dapodi,30.9
BRTS,348-D,Nigdi To Pune Station,24
BRTS,348-U,Pune Station To Nigdi,24
Non-BRTS,350A-D,Dehugaon To Pimprigaon,17.1
Non-BRTS,350A-U,Pimprigaon To Dehugaon,17.1
Non-BRTS,350-D,Dehugaon To Nigdi,8.8
Non-BRTS,350-U,Nigdi To Dehugaon,8.8
Non-BRTS,351-D,Jambe To Alandi,32.5
Non-BRTS,351-U,Alandi To Jambe,32.5
Non-BRTS,354A-D,Pimpri To Marketyard,28.5
Non-BRTS,354A-U,Marketyard To Pimpri,28.5
Non-BRTS,354-D,Pimprigaon To Marketyard,28.8
Non-BRTS,354-U,Marketyard To Pimprigaon,28.8
Non-BRTS,355-D,Chikhali To Dange Chowk,13
Non-BRTS,355-U,Dange Chowk To Chikhali,13
Non-BRTS,357-D,Rajgurunagar To Pune Station,43.6
Non-BRTS,357-U,Pune Station To Rajgurunagar,43.6
Non-BRTS,358-D,Rajgurunagar To Bhosari,28.4
Non-BRTS,358-U,Bhosari To Rajgurunagar,28.4
Non-BRTS,360-D,Balewadi Depot To Alandi,35
Non-BRTS,360-U,Alandi To Balewadi Depot,35
Non-BRTS,361-D,Bhosari Terminal To Alandi,8.5
Non-BRTS,361-U,Alandi To Bhosari Terminal,8.5
Non-BRTS,362-D,YCM Hospital To Alandi,14
Non-BRTS,362-U,Alandi To YCM Hospital,14
Non-BRTS,363A-D,Kiwalegaon To Nigdi,10.7
Non-BRTS,363A-U,Nigdi To Kiwalegaon,10.7
Non-BRTS,363-D,Adarshnagar To Nigdi,9
Non-BRTS,363-U,Nigdi To Adarshnagar,9
Non-BRTS,366-D,Bhakti Shakti To Pune Station,22.7
Non-BRTS,366-U,Pune Station To Bhakti Shakti,22.7
Non-BRTS,367A-D,Santnagar MIDC Police Station To Akurdi Railway Station,18.5
Non-BRTS,367A-U,Akurdi Railway Station To Santnagar MIDC Police Station,18.5
Non-BRTS,367B-D,Gharkul Vasahat To Bhosari Terminal,11.4
Non-BRTS,367B-U,Bhosari Terminal To Gharkul Vasahat,11.4
Non-BRTS,367-D,Gavhanevasti Bhosari To Nigdi,10.8
Non-BRTS,367-U,Nigdi To Gavhanevasti Bhosari,10.8
BRTS,36-D,Chinchwadgaon To Ma Na Pa,17.1
BRTS,36-U,Ma Na Pa To Chinchwadgaon,17.1
Non-BRTS,370-R,Pimpri To Pimpri,14.5
Non-BRTS,372-D,Hinjawadi Maan Phase 3 To Bhakti Shakti,20.9
Non-BRTS,372-U,Bhakti Shakti To Hinjawadi Maan Phase 3,20.9
Non-BRTS,373-D,Hinjawadi Maan Phase 3 To Wakad pul,10
Non-BRTS,373-U,Wakad Pul To Hinjawadi Maan Phase 3,10
Non-BRTS,376A-D,Bhakti Shakti To Warje Malewadi Via YCM Hospital,31.2
Non-BRTS,376A-U,Warje Malwadi To Bhakti Shakti,31.2
Non-BRTS,376B-D,Bhakti Shakti To Shewalwadi Via YCM Hospital,35.7
Non-BRTS,376B-U,Shewalwadi To Bhakti Shakti Via YCM Hospital,35.7
Non-BRTS,376-D,Bhakti Shakti To Katraj Via YCM Hospital,30.9
Non-BRTS,376K-D,Sambhajinagar To Katraj,32.9
Non-BRTS,376K-U,Katraj To Sambhajinagar,32.9
Non-BRTS,376-U,Katraj To Bhakti Shakti Via YCM Hospital,30.9
Non-BRTS,37-D,Na Ta Wadi To Sahkarnagar,7
Non-BRTS,37-U,Sahkarnagar To Na Ta Wadi,7
Non-BRTS,38-D,Na Ta Wadi To Dhankawadi,9
Non-BRTS,38-U,Dhankawadi To Na Ta Wadi,9
Non-BRTS,39-D,Pune Station To Dhankawadi,10.5
Non-BRTS,39-U,Dhankawadi To Pune Station,10.5
Non-BRTS,3-D,Pune Station To Swargate,7.5
Non-BRTS,3-U,Swargate To Pune Station,7.5
Non-BRTS,40-D,Mandai To Saket Society,5.3
Non-BRTS,40-U,Saket Society To Mandai,5.3
Non-BRTS,41-D,Dapodi Mantri Niketan To Marketyard,19.3
Non-BRTS,41-U,Marketyard To Dapodi Mantri Niketan,19.3
Non-BRTS,42-D,Bhakti Shakti To Katraj,28.95
Non-BRTS,42-U,Katraj To Bhakti Shakti,28.95
Non-BRTS,43A-D,Hinjawadi Maan Phase 3 To Katraj,33.7
Non-BRTS,43A-U,Katraj To Hinjawadi Maan Phase 3,33.7
Non-BRTS,43-D,Bhakti Shakti To Katraj,33.7
Non-BRTS,43-U,Katraj To Bhakti Shakti,33.7
Non-BRTS,46-D,Lohgaon To Swargate,23.5
Non-BRTS,46-U,Swargate To Lohgaon,23.5
Non-BRTS,47-D,Sanaswadi Nandoshi To Shaniwarwada,17.7
Non-BRTS,47-U,Shaniwarwada To Sanaswadi Nandoshi,17.7
Non-BRTS,48-D,Venutai Chavan College To Pune Station,16.8
Non-BRTS,48-U,Pune Station To Venutai Chavan College,16.8
Non-BRTS,49-D,Khanapur To Pune Station,27.7
Non-BRTS,49-U,Pune Station To Khanapur,27.7
Non-BRTS,50-D,Sinhgad To Shaniwarwada,24.8
Non-BRTS,50-U,Shaniwarwada To Sinhgad,24.8
Non-BRTS,51-D,Dhayarigaon To Shivajinagar,13.2
Non-BRTS,51-U,Shivajinagar To Dhayarigaon,13.2
Non-BRTS,52A-D,Osade Phata To Swargate,30.1
Non-BRTS,52A-U,Swargate To Osade Phata,30.1
Non-BRTS,52-D,Khanapur To Swargate,23.2
Non-BRTS,52-U,Swargate To Khanapur,23.2
Non-BRTS,53-D,DSK Vishwa To Shivajinagar,15.4
Non-BRTS,53-U,Shivajinagar To DSK Vishwa,15.4
Non-BRTS,54-D,Venutai Chavan College To Na Ta Wadi,13.9
Non-BRTS,54-U,Na Ta Wadi To Venutai Chavan College,13.9
Non-BRTS,55-D,Mandai To Suncity,7.8
Non-BRTS,55-U,Suncity To Mandai,7.8
Non-BRTS,56-D,Mandai To Vadgaon Bk,9.4
Non-BRTS,56-U,Vadgaon Bk To Mandai,9.4
Non-BRTS,57A-D,Suncity To Pune Station,10.3
Non-BRTS,57A-U,Pune Station To Suncity,10.3
Non-BRTS,57-D,Vadgaon Bk To Pune Station,12.3
Non-BRTS,57-U,Pune Station To Vadgaon Bk,12.3
Non-BRTS,58-D,Gokhalenagar To Shanipar,5.6
Non-BRTS,58P-D,Pandavnagar Senapati Bapat Road To Shanipar,7.8
Non-BRTS,58P-U,Shanipar To Pandavnagar Senapati Bapat Road,7.8
Non-BRTS,58-U,Shanipar To Gokhalenagar,5.6
Non-BRTS,59-D,Niljyoti To Shanipar,6.2
